SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,Unnamed: 7
NMSTEEL.NS,Newmalayalam Steel Limited,ST,27-Dec-24,10,INE0TP801012,10,
IDENTICAL.NS,Identical Brains Studios Limited,ST,26-Dec-24,10,INE0TD101011,10,
PURPLEUTED.NS,Purple United Sales Limited,ST,18-Dec-24,10,INE0P5R01014,10,
SFML.NS,Supreme Facility Management Limited,ST,18-Dec-24,10,INE0U6N01014,10,
DHANLAXMI.NS,Dhanlaxmi Crop Science Limited,SM,16-Dec-24,10,INE0V9V01010,10,
ETML.NS,Emerald Tyre Manufacturers Limited,SM,12-Dec-24,10,INE0RHD01013,10,
GANESHIN.NS,Ganesh Infraworld Limited,SM,06-Dec-24,5,INE0TVT01024,5,
AGARWALTUF.NS,Agarwal Toughened Glass India Limited,SM,05-Dec-24,10,INE0P8X01016,10,
APEXECO.NS,Apex Ecotech Limited,SM,04-Dec-24,10,INE0T4V01015,10,
ABHAPOWER.NS,Abha Power and Steel Limited,SM,04-Dec-24,10,INE0UYG01015,10,
RAJPUTANA.NS,Rajputana Biodiesel Limited,SM,03-Dec-24,10,INE0VHU01019,10,
C2C.NS,C2C Advanced Systems Limited,SM,03-Dec-24,10,INE0U7V01015,10,
ITTL.NS,Innovative Tyres & Tubes Limited,ST,02-Dec-24,10,INE070Y01023,10,
LAMOSAIC.NS,Lamosaic India Limited,ST,29-Nov-24,10,INE0R0201012,10,
ONYX.NS,Onyx Biotec Limited,SM,22-Nov-24,10,INE0WVU01018,10,
NEELAM.NS,Neelam Linens and Garments (India) Limited,ST,18-Nov-24,10,INE0N1401016,10,
USHAFIN.NS,Usha Financial Services Limited,SM,31-Oct-24,10,INE0LS001014,10,
DANISH.NS,Danish Power Limited,SM,29-Oct-24,10,INE0YU901016,10,
UHTL.NS,United Heat Transfer Limited,ST,29-Oct-24,10,INE0SMR01011,10,
OBSCP.NS,OBSC Perfection Limited,ST,29-Oct-24,10,INE0YHV01011,10,
PREMIUM.NS,Premium Plast Limited,SM,28-Oct-24,10,INE0M1F01011,10,
FRESHARA.NS,Freshara Agro Exports Limited,ST,24-Oct-24,10,INE0SFW01015,10,
LAKSHYA.NS,Lakshya Powertech Limited,SM,23-Oct-24,10,INE0VZS01015,10,
PRANIK.NS,Pranik Logistics Limited,SM,17-Oct-24,10,INE0VJG01014,10,
PARAMOUNT.NS,Paramount Dye Tec Limited,SM,08-Oct-24,10,INE0TG801013,10,
SAJHOTELS.NS,Saj Hotels Limited,SM,07-Oct-24,10,INE00MT01022,10,
HVAX.NS,HVAX Technologies Limited,SM,07-Oct-24,10,INE0TO501019,10,
DIVYADHAN.NS,Divyadhan Recycling Industries Limited,SM,04-Oct-24,10,INE0QYI01019,10,
SAHASRA.NS,Sahasra Electronic Solutions Limited,SM,04-Oct-24,10,INE0RBQ01018,10,
FORGEAUTO.NS,Forge Auto International Limited,SM,04-Oct-24,10,INE0YKW01013,10,
THESL.NS,Thinking Hats Entertainment Solutions Limited,ST,03-Oct-24,10,INE0SHE01019,10,
TECHERA.NS,TechEra Engineering (India) Limited,ST,03-Oct-24,10,INE0JQS01019,10,
UNILEX.NS,Unilex Colours and Chemicals Limited,SM,03-Oct-24,10,INE0B2801011,10,
RAPPID.NS,Rappid Valves (India) Limited,ST,30-Sep-24,10,INE0MVO01012,10,
WOL3D.NS,Wol 3D India Limited,SM,30-Sep-24,10,INE0OO201011,10,
BIKEWO.NS,Bikewo Green Tech Limited,SM,27-Sep-24,10,INE0SQH01013,10,
SDREAMS.NS,S D Retail Limited,SM,27-Sep-24,10,INE0X6F01017,10,
PHOGLOBAL.NS,Phoenix Overseas Limited,ST,27-Sep-24,10,INE0FPO01018,10,
AVIANSH.NS,Avi Ansh Textile Limited,ST,27-Sep-24,10,INE0TFB01017,10,
KALANA.NS,Kalana Ispat Limited,SM,26-Sep-24,10,INE0T0L01014,10,
PSFL.NS,Paramount Speciality Forgings Limited,SM,25-Sep-24,10,INE0Q6001012,10,
ENVIRO.NS,Envirotech Systems Limited,SM,24-Sep-24,10,INE0SUH01015,10,
PELATRO.NS,Pelatro Limited,ST,24-Sep-24,10,INE0VG601013,10,
OSELDEVICE.NS,Osel Devices Limited,ST,24-Sep-24,10,INE0RMF01018,10,
DECCANTRAN.NS,Deccan Transcon Leasing Limited,ST,24-Sep-24,10,INE0S7C01019,10,
EXCELLENT.NS,Excellent Wires and Packaging Limited,SM,19-Sep-24,10,INE0Y4801011,10,
INNOMET.NS,Innomet Advanced Materials Limited,SM,18-Sep-24,10,INE0S1D01010,10,
SPPPOLY.NS,SPP Polymer Limited,ST,17-Sep-24,10,INE0QR801013,10,
GAJANAND.NS,Gajanand International Limited,ST,16-Sep-24,10,INE0QTE01018,10,
SHUBHSHREE.NS,Shubhshree Biofuels Energy Limited,ST,16-Sep-24,10,INE0UL701015,10,
AUSL.NS,Aditya Ultra Steel Limited,SM,16-Sep-24,10,INE01YQ01013,10,
VIESL.NS,Vision Infra Equipment Solutions Limited,SM,13-Sep-24,10,INE0TR001017,10,
MYMUDRA.NS,My Mudra Fincorp Limited,SM,12-Sep-24,10,INE0RVQ01016,10,
NAMOEWASTE.NS,Namo eWaste Management Limited,ST,11-Sep-24,10,INE08NZ01012,10,
JEYYAM.NS,Jeyyam Global Foods Limited,SM,09-Sep-24,5,INE0RXB01022,5,
BOSS.NS,Boss Packaging Solutions Limited,ST,06-Sep-24,10,INE0QNI01012,10,
PARAMATRIX.NS,Paramatrix Technologies Limited,SM,04-Sep-24,10,INE0S2W01018,10,
AERON.NS,Aeron Composite Limited,SM,04-Sep-24,10,INE0WL801011,10,
IPHL.NS,Indian Phosphate Limited,ST,03-Sep-24,10,INE0DHF01018,10,
VDEAL.NS,Vdeal System Limited,SM,03-Sep-24,10,INE0U2M01015,10,
JAYBEE.NS,Jay Bee Laminations Limited,ST,03-Sep-24,10,INE0SMY01017,10,
QVCEL.NS,QVC Exports Limited,ST,28-Aug-24,10,INE0KZF01015,10,
IDEALTECHO.NS,Ideal Technoplast Industries Limited,SM,28-Aug-24,10,INE0T9I01011,10,
BRACEPORT.NS,Brace Port Logistics Limited,ST,26-Aug-24,10,INE0R4Z01018,10,
FORCAS.NS,Forcas Studio Limited,ST,26-Aug-24,10,INE0U2501017,10,
BALCO.NS,Solve Plastic Products Limited,ST,21-Aug-24,10,INE0U0201016,10,
SUNLITE.NS,Sunlite Recycling Industries Limited,SM,20-Aug-24,10,INE0U2N01013,10,
POSITRON.NS,Positron Energy Limited,ST,20-Aug-24,10,INE0S3H01017,10,
AESTHETIK.NS,Aesthetik Engineers Limited,SM,16-Aug-24,10,INE0TSF01011,10,
PPSL.NS,Picturepost Studios Limited,SM,09-Aug-24,1,INE0YAL01017,1,
DHARIWAL.NS,Dhariwalcorp Limited,SM,08-Aug-24,10,INE0YRN01017,10,
UTSSAV.NS,Utssav CZ Gold Jewels Limited,ST,07-Aug-24,10,INE06IJ01010,10,
BULKCORP.NS,Bulkcorp International Limited,SM,06-Aug-24,10,INE0SZ301012,10,
ASHALOG.NS,Ashapura Logistics Limited,ST,06-Aug-24,10,INE0LAA01017,10,
SSEGL.NS,Sathlokhar Synergys E&C Global Limited,ST,06-Aug-24,10,INE0RFP01011,10,
RAJINDLTD.NS,Rajputana Industries Limited,SM,06-Aug-24,10,INE0PCU01012,10,
ESPRIT.NS,Esprit Stones Limited,SM,02-Aug-24,10,INE0SBP01018,10,
SATECH.NS,S A Tech Software India Limited,ST,02-Aug-24,10,INE0BSN01013,10,
APRAMEYA.NS,Aprameya Engineering Limited,ST,01-Aug-24,10,INE0LQG01010,10,
TROM.NS,Trom Industries Limited,SM,01-Aug-24,10,INE0SYV01018,10,
MIEL.NS,Manglam Infra & Engineering Limited,ST,31-Jul-24,10,INE0R3101011,10,
CHETANA.NS,Chetana Education Limited,SM,31-Jul-24,10,INE0U1T01012,10,
VLINFRA.NS,V.L.Infraprojects Limited,ST,30-Jul-24,10,INE0QXL01015,10,
RNFI.NS,RNFI Services Limited,SM,29-Jul-24,10,INE0SA001017,10,
MACOBSTECH.NS,Macobs Technologies Limited,SM,24-Jul-24,10,INE0R0J01010,10,
KATARIA.NS,Kataria Industries Limited,SM,24-Jul-24,10,INE0SVY01018,10,
TUNWAL.NS,Tunwal E-Motors Limited,SM,23-Jul-24,2,INE0OXV01027,2,
PRIZOR.NS,Prizor Viztech Limited,ST,22-Jul-24,10,INE0V9N01017,10,
SATIPOLY.NS,Sati Poly Plast Limited,SM,22-Jul-24,10,INE0RPM01017,10,
SAHAJSOLAR.NS,Sahaj Solar Limited,ST,19-Jul-24,10,INE0P4701011,10,
EFFWA.NS,Effwa Infra & Research Limited,ST,12-Jul-24,10,INE0U9101019,10,
GGBL.NS,Ganesh Green Bharat Limited,SM,12-Jul-24,10,INE0R8C01018,10,
AMBEY.NS,Ambey Laboratories Limited,SM,11-Jul-24,10,INE0M3I01029,10,
NEPHROCARE.NS,Nephro Care India Limited,ST,05-Jul-24,10,INE0SUN01013,10,
DTL.NS,Diensten Tech Limited,SM,03-Jul-24,10,INE0JRD01019,10,
AKIKO.NS,Akiko Global Services Limited,SM,02-Jul-24,10,INE0PMR01017,10,
PCCL.NS,Petro Carbon and Chemicals Limited,SM,02-Jul-24,10,INE998U01015,10,
DPEL.NS,Divine Power Energy Limited,ST,02-Jul-24,10,INE0SCO01019,10,
VISAMAN.NS,Visaman Global Sales Limited,SM,01-Jul-24,10,INE0BHK01012,10,
SYLVANPLY.NS,Sylvan Plyboard (India) Limited,SM,01-Jul-24,10,INE01IH01015,10,
MASON.NS,Mason Infratech Limited,ST,01-Jul-24,10,INE0SH001010,10,
SPCL.NS,Shivalic Power Control Limited,ST,01-Jul-24,10,INE0T7B01010,10,
MEDIORG.NS,Medicamen Organics Limited,ST,28-Jun-24,10,INE0PE401018,10,
WINNY.NS,Winny Immigration & Education Services Limited,ST,27-Jun-24,10,INE0S9101013,10,
FALCONTECH.NS,Falcon Technoprojects India Limited,SM,26-Jun-24,10,INE0PQK01013,10,
DURLAX.NS,Durlax Top Surface Limited,SM,26-Jun-24,10,INE0OUW01013,10,
GPECO.NS,GP Eco Solutions India Limited,ST,24-Jun-24,10,INE0S7E01015,10,
TBI.NS,TBI Corn Limited,ST,07-Jun-24,10,INE0N2D01013,10,
AIMTRON.NS,Aimtron Electronics Limited,ST,06-Jun-24,10,INE0RUV01018,10,
ZTECH.NS,Z-Tech (India) Limited,ST,05-Jun-24,10,INE0ISZ01012,10,
BEACON.NS,Beacon Trusteeship Limited,SM,04-Jun-24,10,INE639X01027,10,
VILAS.NS,Vilas Transcore Limited,ST,03-Jun-24,10,INE0AZY01017,10,
GSMFOILS.NS,GSM Foils Limited,ST,31-May-24,10,INE0SQY01018,10,
HOACFOODS.NS,Hoac Foods India Limited,ST,24-May-24,10,INE0S6S01017,10,
RULKA.NS,Rulka Electricals Limited,SM,24-May-24,10,INE0R7301013,10,
QUESTLAB.NS,Quest Laboratories Limited,SM,23-May-24,10,INE0TNW01017,10,
IEML.NS,Indian Emulsifiers Limited,SM,22-May-24,10,INE0RRU01016,10,
ABSMARINE.NS,ABS Marine Services Limited,SM,21-May-24,10,INE0QRV01016,10,
VERITAAS.NS,Veritaas Advertising Limited,SM,21-May-24,10,INE0SRI01019,10,
MANDEEP.NS,Mandeep Auto Industries Limited,SM,21-May-24,10,INE0R3T01013,10,
PRLIND.NS,Premier Roadlines Limited,SM,17-May-24,10,INE0CFG01012,10,
EMMIL.NS,Energy Mission Machineries (India) Limited,ST,16-May-24,10,INE0S1L01013,10,
SILKFLEX.NS,Silkflex Polymers (India) Limited,ST,15-May-24,10,INE0STN01015,10,
WINSOL.NS,Winsol Engineers Limited,SM,14-May-24,10,INE0S3D01016,10,
REFRACTORY.NS,Refractory Shapes Limited,ST,14-May-24,10,INE0TNX01015,10,
SLONE.NS,Slone Infosystems Limited,ST,10-May-24,10,INE0SMA01017,10,
BIRDYS.NS,Grill Splendour Services Limited,SM,23-Apr-24,10,INE0PC901019,10,
RBS.NS,Ramdevbaba Solvent Limited,ST,23-Apr-24,10,INE0RJH01010,10,
DCG.NS,DCG Cables & Wires Limited,SM,16-Apr-24,10,INE0S8401018,10,
TGL.NS,Teerth Gopicon Limited,ST,16-Apr-24,10,INE0K6601012,10,
DRSCARGO.NS,DRS Cargo Movers Limited,ST,10-Apr-24,10,INE0QZM01018,10,
ALUWIND.NS,Aluwind Architectural Limited,SM,09-Apr-24,10,INE0STM01017,10,
CGRAPHICS.NS,Creative Graphics Solutions India Limited,SM,09-Apr-24,10,INE0R7401011,10,
K2INFRA.NS,K2 Infragen Limited,SM,08-Apr-24,10,INE0DEZ01013,10,
YASHOPTICS.NS,Yash Optics & Lens Limited,SM,08-Apr-24,10,INE0TO601017,10,
RADIOWALLA.NS,Radiowalla Network Limited,SM,05-Apr-24,10,INE430U01019,10,
TAC.NS,TAC Infosec Limited,ST,05-Apr-24,10,INE0SOY01013,10,
TRUST.NS,Trust Fintech Limited,SM,04-Apr-24,10,INE0SWN01019,10,
BLUEPEBBLE.NS,Blue Pebble Limited,SM,03-Apr-24,10,INE0SAK01011,10,
ASPIRE.NS,Aspire & Innovative Advertising Limited,ST,03-Apr-24,10,INE0S7801010,10,
NAMAN.NS,Naman In-Store (India) Limited,ST,02-Apr-24,10,INE0RJM01010,10,
VISHWAS.NS,Vishwas Agri Seeds Limited,SM,01-Apr-24,10,INE0S2E01016,10,
ENFUSE.NS,Enfuse Solutions Limited,ST,22-Mar-24,10,INE0S3X01014,10,
ENSER.NS,Enser Communications Limited,ST,22-Mar-24,10,INE0R9I01013,10,
AVPINFRA.NS,AVP Infracon Limited,ST,20-Mar-24,10,INE0R9401019,10,
SIGNORIA.NS,Signoria Creation Limited,SM,19-Mar-24,10,INE0RDE01010,10,
PRATHAM.NS,Pratham EPC Projects Limited,ST,18-Mar-24,10,INE0QA601016,10,
SHREEKARNI.NS,Shree Karni Fabcom Limited,SM,14-Mar-24,10,INE0S4Y01010,10,
SONAMAC.NS,Sona Machinery Limited,ST,13-Mar-24,10,INE0Q6H01012,10,
VR.NS,V R Infraspace Limited,ST,12-Mar-24,10,INE0QQM01017,10,
MVKAGRO.NS,M.V.K. Agro Food Product Limited,SM,07-Mar-24,10,INE0SGC01015,10,
PURVFLEXI.NS,Purv Flexipack Limited,SM,05-Mar-24,10,INE0R6C01012,10,
OWAIS.NS,Owais Metal And Mineral Processing Limited,SM,04-Mar-24,10,INE0R8M01017,10,
SADHAV.NS,Sadhav Shipping Limited,SM,01-Mar-24,10,INE0K5H01010,10,
DEEM.NS,Deem Roll Tech Limited,SM,27-Feb-24,10,INE586O01011,10,
ZENITHDRUG.NS,Zenith Drugs Limited,ST,27-Feb-24,10,INE0QWN01013,10,
INM.NS,Interiors & More Limited,SM,23-Feb-24,10,INE0OPC01015,10,
ESCONET.NS,Esconet Technologies Limited,ST,23-Feb-24,10,INE0RQZ01017,10,
ATMASTCO.NS,Atmastco Limited,ST,23-Feb-24,10,INE05DH01017,10,
KTL.NS,Kalahridhaan Trendz Limited,ST,23-Feb-24,10,INE02M801018,10,
TCL.NS,Thaai Casting Limited,SM,23-Feb-24,10,INE0QJL01014,10,
WTICAB.NS,Wise Travel India Limited,ST,19-Feb-24,10,INE623Y01011,10,
POLYSIL.NS,Polysil Irrigation Systems Limited,SM,16-Feb-24,10,INE517M01028,10,
ALPEXSOLAR.NS,Alpex Solar Limited,SM,15-Feb-24,10,INE0R4701017,10,
ITALIANE.NS,Italian Edibles Limited,ST,12-Feb-24,10,INE0R7R01018,10,
BAWEJA.NS,Baweja Studios Limited,SM,06-Feb-24,10,INE0JFJ01011,10,
MEGATHERM.NS,Megatherm Induction Limited,SM,05-Feb-24,10,INE531R01010,10,
DHTL.NS,Docmode Health Technologies Limited,ST,02-Feb-24,10,INE0OGG01015,10,
DELAPLEX.NS,Delaplex Limited,SM,02-Feb-24,10,INE0SK801018,10,
FONEBOX.NS,Fonebox Retail Limited,SM,02-Feb-24,10,INE0Q4701019,10,
LAWSIKHO.NS,Addictive Learning Technology Limited,SM,30-Jan-24,10,INE0RDH01021,10,
KONSTELEC.NS,Konstelec Engineers Limited,ST,30-Jan-24,10,INE0QEI01011,10,
MAXPOSURE.NS,Maxposure Limited,SM,23-Jan-24,10,INE0ECC01022,10,
APS.NS,Australian Premium Solar (India) Limited,ST,18-Jan-24,10,INE0P0001010,10,
IBLFL.NS,IBL Finance Limited,ST,16-Jan-24,10,INE0O7401018,10,
KLL.NS,Kaushalya Logistics Limited,SM,08-Jan-24,10,INE0Q2V01012,10,
KCEIL.NS,Kay Cee Energy & Infra Limited,ST,05-Jan-24,10,INE0RCG01017,10,
HRHNEXT.NS,HRH Next Services Limited,ST,03-Jan-24,10,INE0R3501012,10,
AKANKSHA.NS,Akanksha Power and Infrastructure Limited,ST,03-Jan-24,10,INE0PCY01014,10,
SAIFL.NS,Sameera Agro And Infra Limited,SM,01-Jan-24,10,INE0PZA01015,10,
TECHLABS.NS,Trident Techlabs Limited,ST,29-Dec-23,10,INE0QD201012,10,
INDIFRA.NS,Indifra Limited,SM,29-Dec-23,10,INE0PS301014,10,
SUPREMEPWR.NS,Supreme Power Equipment Limited,ST,29-Dec-23,10,INE0QHG01026,10,
EFORCE.NS,Electro Force (India) Limited,SM,27-Dec-23,10,INE0Q1W01012,10,
SHREEOSFM.NS,Shree OSFM E-Mobility Limited,SM,21-Dec-23,10,INE02S501018,10,
SJLOGISTIC.NS,S J Logistics (India) Limited,ST,19-Dec-23,10,INE0F3301020,10,
PRESSTONIC.NS,Presstonic Engineering Limited,ST,18-Dec-23,10,INE0R1601012,10,
ACCENTMIC.NS,Accent Microcell Limited,SM,15-Dec-23,10,INE0Q5D01013,10,
GRAPHISAD.NS,Graphisads Limited,ST,13-Dec-23,10,INE0POU01017,10,
SHEETAL.NS,Sheetal Universal Limited,SM,11-Dec-23,10,INE04VX01019,10,
MARINETRAN.NS,Marinetrans India Limited,ST,08-Dec-23,10,INE0P1P01017,10,
CBAZAAR.NS,Net Avenue Technologies Limited,SM,08-Dec-23,1,INE518X01015,1,
ROCKINGDCE.NS,Rockingdeals Circular Economy Limited,SM,30-Nov-23,10,INE0PTR01012,10,
SUNREST.NS,Sunrest Lifescience Limited,SM,20-Nov-23,10,INE0PLZ01012,10,
ROXHITECH.NS,Rox Hi Tech Limited,SM,16-Nov-23,10,INE0PDJ01013,10,
BABAFP.NS,Baba Food Processing (India) Limited,SM,15-Nov-23,10,INE0QW501012,10,
MICROPRO.NS,Micropro Software Solutions Limited,SM,10-Nov-23,10,INE0PZK01014,10,
SARTELE.NS,Sar Televenture Limited,SM,08-Nov-23,2,INE0PUC01020,2,
MAITREYA.NS,Maitreya Medicare Limited,ST,07-Nov-23,10,INE0PLQ01011,10,
TRANSTEEL.NS,Transteel Seating Technologies Limited,ST,06-Nov-23,10,INE0NVI01020,10,
PARAGON.NS,Paragon Fine and Speciality Chemical Limited,ST,03-Nov-23,10,INE0N4G01012,10,
SHANTHALA.NS,Shanthala FMCG Products Limited,ST,03-Nov-23,10,INE0Q9Q01017,10,
ONDOOR.NS,On Door Concepts Limited,ST,01-Nov-23,10,INE00ER01015,10,
RCDL.NS,Rajgor Castor Derivatives Limited,SM,31-Oct-23,10,INE0BZQ01011,10,
WOMANCART.NS,Womancart Limited,ST,27-Oct-23,10,INE0Q9601016,10,
ARVINDPORT.NS,ARVIND PORT AND INFRA LIMITED,ST,25-Oct-23,10,INE0P4T01013,10,
COMMITTED.NS,Committed Cargo Care Limited,ST,18-Oct-23,10,INE597Z01014,10,
PLADAINFO.NS,Plada Infotech Services Limited,SM,13-Oct-23,10,INE0PXD01014,10,
SCML.NS,Sharp Chucks and Machines Limited,SM,12-Oct-23,10,INE460Q01014,10,
KARNIKA.NS,Karnika Industries Limited,ST,12-Oct-23,10,INE0MGA01012,10,
OLIL.NS,Oneclick Logistics India Limited,SM,11-Oct-23,10,INE0OPS01011,10,
GOYALSALT.NS,Goyal Salt Limited,SM,11-Oct-23,10,INE0QFE01017,10,
CANARYS.NS,Canarys Automations Limited,SM,11-Oct-23,2,INE0QG301017,2,
VISHNUINFR.NS,Vishnusurya Projects and Infra Limited,ST,10-Oct-23,10,INE0PQ001012,10,
